2025-05-24 14:26:45.643 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2025-05-24 14:26:45.646 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./my_result/multihop-rag/tog_er_graph/chunk_storage_chunk_data_idx.pkl and ./my_result/multihop-rag/tog_er_graph/chunk_storage_chunk_data_key.pkl
2025-05-24 14:26:45.646 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2025-05-24 14:26:45.647 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2025-05-24 14:26:45.647 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.00
2025-05-24 14:26:45.647 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2025-05-24 14:26:45.647 | INFO     | Core.Storage.NetworkXStorage:load_graph:97 - Force rebuilding the graph
2025-05-24 14:27:48.166 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.012 | Max budget: $10.000 | Current cost: $0.012, prompt_tokens: 249, completion_tokens: 930
2025-05-24 14:27:52.347 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.028 | Max budget: $10.000 | Current cost: $0.016, prompt_tokens: 1433, completion_tokens: 987
2025-05-24 14:27:57.872 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.045 | Max budget: $10.000 | Current cost: $0.017, prompt_tokens: 1442, completion_tokens: 1044
2025-05-24 14:28:36.634 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.069 | Max budget: $10.000 | Current cost: $0.024, prompt_tokens: 1385, completion_tokens: 1640
2025-05-24 14:28:44.950 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.094 | Max budget: $10.000 | Current cost: $0.025, prompt_tokens: 1423, completion_tokens: 1743
2025-05-24 14:29:30.239 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.116 | Max budget: $10.000 | Current cost: $0.022, prompt_tokens: 1792, completion_tokens: 1387
2025-05-24 14:29:46.244 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.142 | Max budget: $10.000 | Current cost: $0.026, prompt_tokens: 1864, completion_tokens: 1702
2025-05-24 14:29:56.723 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.161 | Max budget: $10.000 | Current cost: $0.019, prompt_tokens: 1872, completion_tokens: 1123
2025-05-24 14:30:18.223 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.190 | Max budget: $10.000 | Current cost: $0.029, prompt_tokens: 548, completion_tokens: 2304
2025-05-24 14:30:19.011 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.215 | Max budget: $10.000 | Current cost: $0.025, prompt_tokens: 1790, completion_tokens: 1607
2025-05-24 14:30:19.016 | INFO     | Core.Graph.ERGraph:_build_graph:92 - Constructing graph finished
2025-05-24 14:30:19.016 | INFO     | Core.Storage.NetworkXStorage:_persist:109 - Writing graph into ./my_result/multihop-rag/tog_er_graph/graph_storage_nx_data.graphml
2025-05-24 14:30:19.016 | INFO     | Core.Storage.NetworkXStorage:write_nx_graph:45 - Writing graph with 170 nodes, 151 edges
2025-05-24 14:30:19.023 | INFO     | Core.Graph.BaseGraph:build_graph:50 - ✅ Finished the graph building stage
2025-05-24 14:30:19.023 | INFO     | Core.GraphRAG:_update_costs_info:205 - Build Graph stage cost: Total prompt token: 13798, Total completeion token: 14467, Total cost: 0.214998
2025-05-24 14:30:19.023 | INFO     | Core.GraphRAG:_update_costs_info:207 - Build Graph time(s): 213.38
2025-05-24 14:30:19.024 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2025-05-24 14:30:19.025 | INFO     | Core.Common.Utils:clean_storage:372 - The path ./my_result/multihop-rag/tog_er_graph/entities_vdb does not exist.
2025-05-24 14:30:19.025 | INFO     | Core.Index.BaseIndex:build_index:25 - Building index for input elements
2025-05-24 14:30:19.898 | INFO     | Core.Index.VectorIndex:_update_index:65 - refresh index size is 170
2025-05-24 14:30:20.172 | INFO     | Core.Index.BaseIndex:build_index:28 - Index successfully built and stored.
2025-05-24 14:30:20.172 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2025-05-24 14:30:20.173 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
